Age,Occupation,Sleep Duration,Quality of Sleep,Physical Activity Level,Stress Level
28,Retired,6.6,6,93,5
44,Teacher,7.6,8,39,3
31,Unemployed,7.6,7,46,4
37,Engineer,8.2,10,62,1
28,Engineer,6.1,7,23,3
55,Lawyer,7.1,5,36,5
55,Manager,5.1,5,56,5
53,Student,5.6,4,47,5
25,Salesperson,8.0,7,70,4
59,Student,6.0,5,120,4
48,Student,6.1,4,57,5
27,Student,7.0,8,34,1
29,Software Engineer,7.8,7,90,4
28,Unemployed,5.8,5,15,5
32,Engineer,4.0,3,20,6
54,Teacher,6.0,6,40,3
53,Teacher,8.3,8,48,2
43,Engineer,7.4,7,40,5
44,Unemployed,8.5,4,54,4
57,Accountant,5.8,5,62,6
55,Athlete,5.2,3,82,8
42,Doctor,7.5,6,57,3
47,Engineer,7.3,5,41,7
55,Freelancer,7.3,5,80,6
21,Athlete,8.0,9,35,1
55,Nurse,7.5,6,14,1
57,Engineer,7.4,6,85,4
34,Teacher,7.8,8,84,2
23,Salesperson,7.6,6,35,2
21,Athlete,7.9,10,45,1
25,Athlete,8.1,7,32,4
46,Teacher,8.7,8,63,1
34,Retired,6.3,7,98,3
59,Manager,7.5,9,73,1
47,Accountant,6.6,5,81,6
29,Engineer,6.1,5,75,5
35,Manager,6.2,7,55,3
35,Scientist,7.5,8,82,1
46,Engineer,7.5,8,74,2
33,Engineer,7.4,5,91,6
52,Nurse,6.8,8,44,2
59,Athlete,7.0,5,12,6
52,Scientist,7.9,7,81,2
24,Doctor,5.4,5,64,4
50,Athlete,7.0,5,48,4
57,Retired,7.1,5,49,5
43,Freelancer,7.8,5,119,7
59,Accountant,5.5,5,39,4
35,Doctor,8.6,6,34,2
49,Engineer,7.2,5,57,6
56,Doctor,7.3,6,85,6
33,Retired,6.6,3,112,5
52,Nurse,7.6,8,71,5
27,Teacher,7.1,3,23,8
42,Salesperson,8.3,7,104,5
48,Accountant,5.4,5,55,7
22,Athlete,7.2,7,34,4
26,Engineer,7.4,7,28,3
48,Nurse,6.8,9,76,3
48,Teacher,6.6,6,61,4
40,Engineer,6.6,7,64,5
50,Doctor,7.2,6,87,6
31,Manager,5.0,5,35,3
48,Manager,8.1,9,89,2
45,Student,6.5,6,42,4
59,Retired,7.1,7,109,3
53,Retired,7.4,8,70,2
21,Freelancer,6.4,5,32,5
47,Teacher,6.9,4,4,8
33,Doctor,4.8,5,75,3
23,Lawyer,7.8,8,46,1
59,Retired,8.2,6,51,1
26,Freelancer,5.1,5,74,7
28,Unemployed,6.6,7,80,2
47,Doctor,5.6,2,86,8
29,Freelancer,6.8,5,26,5
57,Salesperson,7.7,6,91,3
53,Software Engineer,8.1,7,41,4
44,Salesperson,8.2,6,0,4
35,Software Engineer,8.4,7,26,3
52,Scientist,6.8,8,60,2
52,Lawyer,5.7,5,31,6
44,Engineer,6.9,5,53,4
32,Manager,7.7,7,63,4
59,Unemployed,5.7,6,50,6
22,Student,8.8,8,43,1
23,Salesperson,8.0,7,24,3
57,Unemployed,6.8,5,56,5
37,Retired,6.2,5,3,6
22,Doctor,6.3,5,38,3
22,Scientist,7.1,7,32,5
48,Teacher,6.7,5,49,3
43,Software Engineer,8.0,8,50,2
57,Student,6.6,8,79,3
52,Unemployed,7.6,7,95,2
53,Nurse,7.0,6,27,3
21,Athlete,7.3,5,105,5
39,Unemployed,6.7,8,36,2
22,Retired,7.8,6,59,4
46,Teacher,7.8,8,68,3
52,Retired,7.5,8,116,1
26,Lawyer,7.7,7,41,3
52,Scientist,6.0,5,10,4
24,Software Engineer,7.4,4,92,5
31,Software Engineer,8.4,8,34,2
37,Student,7.5,7,46,2
58,Salesperson,5.9,4,27,5
44,Teacher,6.9,6,46,6
25,Nurse,7.4,7,34,3
54,Student,6.2,6,72,3
26,Software Engineer,5.5,5,57,5
42,Athlete,6.7,4,38,6
31,Software Engineer,6.2,5,80,3
36,Nurse,7.0,7,61,3
53,Accountant,5.2,6,9,3
29,Engineer,7.6,6,78,4
26,Accountant,6.3,8,60,3
36,Lawyer,8.1,5,90,5
49,Freelancer,6.7,5,58,7
23,Student,7.0,6,35,4
40,Software Engineer,6.8,6,50,7
56,Salesperson,6.2,4,75,5
39,Unemployed,9.5,9,36,1
46,Lawyer,6.5,6,44,5
23,Doctor,8.1,7,49,5
39,Athlete,5.8,6,26,2
40,Manager,7.4,6,36,4
52,Manager,7.5,5,59,4
27,Software Engineer,7.0,5,85,5
53,Doctor,6.4,6,63,4
59,Manager,6.7,6,54,6
38,Nurse,6.6,6,34,4
21,Engineer,9.5,9,82,3
31,Scientist,7.0,6,66,4
48,Teacher,7.6,7,37,4
45,Freelancer,9.0,9,77,1
43,Unemployed,6.0,5,69,8
51,Student,7.0,5,35,3
50,Software Engineer,6.7,5,52,3
55,Doctor,6.9,7,43,6
27,Engineer,6.8,8,120,1
36,Doctor,6.2,7,68,2
46,Freelancer,7.2,7,60,2
22,Doctor,5.8,4,67,8
21,Engineer,8.1,7,89,1
32,Accountant,7.7,9,53,1
25,Student,6.5,7,40,3
57,Doctor,6.5,6,76,6
52,Salesperson,7.3,7,51,2
29,Teacher,6.1,4,28,7
55,Unemployed,9.0,7,23,1
39,Software Engineer,7.4,5,93,8
36,Retired,7.4,7,58,3
23,Unemployed,7.7,8,40,2
40,Lawyer,6.4,6,49,6
44,Athlete,8.2,6,75,3
53,Software Engineer,7.1,6,48,7
44,Freelancer,8.0,7,19,2
31,Scientist,6.8,5,63,6
28,Lawyer,8.4,8,85,1
56,Accountant,7.4,6,84,2
58,Software Engineer,9.4,7,41,4
40,Freelancer,6.6,4,87,7
55,Software Engineer,7.2,5,60,3
45,Student,5.9,6,86,4
55,Salesperson,6.4,6,69,6
45,Freelancer,7.7,7,17,4
49,Teacher,8.2,8,99,1
38,Scientist,9.5,10,56,1
38,Engineer,6.9,5,69,8
22,Student,6.0,6,21,2
55,Software Engineer,7.8,5,68,5
36,Nurse,5.8,7,83,1
56,Nurse,7.6,5,103,7
53,Student,6.4,5,90,5
24,Nurse,7.2,6,69,4
53,Manager,8.2,6,16,8
34,Nurse,6.9,6,58,3
41,Unemployed,8.0,7,40,6
40,Freelancer,8.0,7,61,2
28,Engineer,4.9,3,25,7
27,Accountant,6.0,8,50,6
23,Teacher,5.3,5,42,5
37,Software Engineer,9.2,10,41,1
53,Teacher,6.9,5,42,5
32,Student,9.0,9,52,1
42,Scientist,5.2,6,62,5
42,Freelancer,6.4,5,0,5
50,Salesperson,7.9,9,0,4
58,Student,7.2,6,47,5
58,Engineer,7.6,6,50,2
28,Engineer,5.6,1,60,9
47,Teacher,8.5,8,37,1
47,Engineer,7.9,6,55,4
54,Engineer,7.4,6,58,3
41,Student,6.2,4,37,9
50,Freelancer,7.4,6,80,3
53,Lawyer,6.7,7,59,4
48,Software Engineer,5.2,5,69,5
53,Engineer,6.9,7,57,1
25,Scientist,6.8,8,108,2
39,Nurse,8.2,7,70,4
24,Athlete,4.5,3,43,8
55,Freelancer,7.3,8,76,1
37,Freelancer,5.7,6,14,2
48,Nurse,7.4,8,58,3
50,Unemployed,7.4,6,63,3
49,Student,6.9,7,58,3
26,Salesperson,7.9,7,47,1
55,Scientist,5.6,6,30,5
57,Unemployed,8.2,7,35,4
44,Engineer,6.2,4,58,7
49,Accountant,5.3,6,27,6
51,Engineer,6.7,3,99,9
55,Manager,4.7,3,0,5
53,Nurse,7.3,5,47,4
41,Retired,6.7,5,58,6
52,Student,8.4,7,68,5
43,Student,7.7,8,32,1
53,Doctor,5.5,6,83,3
23,Manager,6.1,5,20,4
38,Doctor,7.6,8,41,1
45,Software Engineer,7.9,6,71,2
51,Scientist,8.3,6,81,2
23,Salesperson,8.3,9,20,1
44,Manager,6.9,7,120,3
52,Software Engineer,7.4,6,33,5
42,Salesperson,8.4,6,22,3
43,Nurse,6.7,8,68,1
22,Freelancer,7.4,5,46,5
47,Scientist,6.6,5,43,3
22,Student,6.4,6,70,5
46,Lawyer,7.1,9,17,3
37,Doctor,6.2,6,12,3
53,Freelancer,6.9,7,40,2
29,Teacher,5.9,5,82,7
59,Salesperson,6.8,7,41,3
49,Student,7.5,7,95,4
46,Software Engineer,6.4,4,85,6
55,Athlete,7.0,7,62,5
45,Scientist,7.2,8,63,3
44,Teacher,7.5,8,62,3
33,Software Engineer,6.9,6,59,5
27,Nurse,8.2,6,46,3
56,Retired,4.7,1,49,8
40,Student,9.5,9,28,2
21,Teacher,6.0,7,0,3
28,Software Engineer,7.4,8,83,1
36,Student,6.0,6,59,7
34,Manager,7.7,7,55,4
32,Salesperson,7.3,8,65,2
43,Accountant,6.3,7,34,3
35,Nurse,8.2,7,30,3
48,Student,6.8,7,48,4
54,Freelancer,7.6,6,89,1
22,Nurse,6.0,6,26,7
52,Manager,7.0,5,0,4
43,Salesperson,9.2,7,42,3
42,Salesperson,8.1,9,84,1
45,Teacher,7.3,8,12,5
42,Unemployed,6.5,7,25,3
42,Engineer,7.1,6,62,6
26,Scientist,7.2,4,119,7
35,Lawyer,7.5,7,21,2
57,Nurse,5.8,6,20,4
53,Software Engineer,7.7,6,63,4
28,Student,5.8,4,85,4
25,Nurse,8.8,10,39,1
59,Student,6.2,6,14,4
24,Accountant,7.3,7,66,4
26,Salesperson,8.1,8,70,2
52,Engineer,6.7,5,99,4
50,Accountant,7.4,7,71,4
55,Doctor,8.6,9,76,1
36,Lawyer,7.6,9,48,1
33,Student,7.4,7,116,3
50,Student,5.1,4,45,5
39,Teacher,6.0,6,40,5
37,Engineer,8.2,8,100,5
39,Nurse,7.6,9,18,4
48,Nurse,7.8,6,9,4
46,Software Engineer,7.7,7,58,2
57,Retired,8.4,6,55,5
46,Nurse,6.7,5,49,4
43,Teacher,7.1,7,80,4
29,Teacher,5.9,6,32,3
32,Doctor,5.6,4,57,6
21,Student,5.2,6,46,3
21,Software Engineer,6.0,7,33,5
54,Doctor,8.7,10,53,1
52,Student,5.3,5,76,6
45,Lawyer,6.7,5,108,3
21,Student,5.6,4,69,7
36,Scientist,6.3,4,0,5
59,Teacher,7.2,8,54,2
25,Student,6.2,4,56,8
42,Doctor,8.2,9,78,1
49,Scientist,8.7,7,60,1
23,Salesperson,4.5,3,86,8
32,Teacher,6.2,5,65,4
46,Manager,7.1,6,94,3
36,Unemployed,8.2,8,44,2
57,Freelancer,6.5,8,59,4
42,Manager,7.0,6,76,4
49,Salesperson,5.7,5,41,5
34,Teacher,5.3,5,35,6
48,Teacher,8.6,8,39,2
25,Engineer,5.0,4,36,7
50,Accountant,9.5,10,68,2
25,Retired,7.8,8,9,2
32,Accountant,7.7,6,16,1
36,Accountant,7.6,7,102,2
46,Accountant,6.7,8,37,4
46,Unemployed,7.4,6,60,4
41,Student,6.8,6,18,3
59,Manager,7.6,6,57,6
56,Lawyer,7.0,6,37,4
53,Athlete,6.0,3,16,4
50,Software Engineer,6.0,4,88,4
57,Unemployed,5.9,5,85,6
43,Engineer,8.1,9,52,1
30,Salesperson,6.3,5,80,7
25,Engineer,4.9,4,103,5
56,Student,7.4,9,74,1
54,Software Engineer,8.7,7,67,2
51,Unemployed,7.9,5,60,4
30,Salesperson,6.3,5,71,2
39,Lawyer,5.3,4,46,5
52,Doctor,6.9,4,48,6
21,Salesperson,6.8,6,66,4
25,Engineer,5.9,6,43,7
24,Salesperson,7.6,5,46,8
36,Student,9.0,8,55,1
44,Salesperson,7.2,7,84,1
36,Freelancer,7.2,6,27,4
22,Manager,6.0,6,74,5
48,Athlete,8.5,8,75,1
52,Doctor,6.9,5,75,4
47,Salesperson,6.4,8,35,4
40,Lawyer,7.1,8,13,2
44,Manager,7.5,8,69,3
32,Unemployed,7.2,8,60,1
55,Software Engineer,8.3,6,80,4
53,Software Engineer,7.4,8,37,1
53,Unemployed,6.7,7,74,2
57,Nurse,7.4,5,81,7
32,Student,7.5,6,53,2
23,Scientist,5.6,5,65,5
21,Unemployed,8.3,9,65,1
53,Doctor,6.7,7,34,4
30,Doctor,6.7,5,68,4
49,Scientist,7.8,9,96,2
33,Freelancer,7.8,7,56,2
32,Salesperson,6.2,5,18,7
51,Lawyer,7.9,7,38,3
22,Manager,6.4,4,11,4
55,Retired,9.0,8,87,3
43,Unemployed,6.1,6,74,4
37,Freelancer,7.3,6,42,1
46,Software Engineer,6.1,6,20,4
28,Doctor,9.4,7,34,5
49,Manager,5.6,5,39,7
46,Unemployed,7.6,7,58,2
30,Teacher,6.2,6,57,4
46,Teacher,6.6,4,89,6
54,Athlete,7.5,6,38,6
27,Software Engineer,8.3,9,17,1
24,Accountant,8.8,7,26,2
31,Engineer,5.3,5,54,4
49,Scientist,7.3,6,37,2
56,Student,8.6,10,48,1
45,Accountant,5.1,6,44,6
41,Manager,7.3,8,80,2
56,Manager,7.0,5,40,4
30,Scientist,7.5,7,46,3
57,Student,6.2,6,73,5
29,Teacher,5.4,4,41,6
44,Software Engineer,4.9,3,66,9
55,Doctor,8.1,9,63,1
55,Teacher,8.2,7,59,3
56,Engineer,7.3,9,27,1
38,Unemployed,6.4,7,86,4
59,Student,5.2,5,111,5
52,Athlete,7.6,7,55,1
44,Accountant,5.8,4,29,10
43,Salesperson,6.2,6,56,4
52,Accountant,6.4,7,80,3
57,Nurse,6.8,7,40,4
32,Software Engineer,6.2,6,52,3
33,Manager,7.0,8,64,2
43,Freelancer,6.3,5,85,4
45,Nurse,7.8,6,74,5
55,Software Engineer,8.1,7,75,3
50,Athlete,7.1,7,44,3
37,Teacher,7.5,5,65,3
40,Unemployed,9.3,9,37,1
45,Student,5.7,6,76,2
42,Freelancer,5.6,5,84,4
33,Salesperson,7.8,8,69,1
39,Student,9.1,9,46,1
56,Engineer,6.7,9,50,1
32,Student,8.9,7,100,3
39,Salesperson,7.1,7,46,3
32,Nurse,6.3,4,81,8
29,Engineer,5.9,3,63,10
27,Scientist,7.7,4,47,8
48,Athlete,6.0,6,21,3
34,Student,7.1,7,60,2
51,Student,8.7,7,57,4
39,Doctor,6.7,4,100,3
36,Student,8.4,7,33,3
25,Engineer,5.7,5,112,5
55,Retired,6.4,7,64,4
32,Retired,5.5,5,64,6
45,Software Engineer,7.1,7,40,2
41,Unemployed,7.9,7,63,2
56,Software Engineer,7.1,8,67,3
43,Accountant,8.3,6,78,3
36,Scientist,6.2,5,31,7
59,Doctor,7.2,6,90,5
59,Student,6.4,6,64,4
34,Software Engineer,7.4,5,70,6
51,Nurse,7.6,7,49,2
25,Manager,7.6,7,32,2
55,Student,5.8,4,57,5
43,Retired,6.0,6,60,5
49,Student,6.2,4,20,6
31,Student,6.7,5,75,4
38,Salesperson,7.1,7,80,4
32,Software Engineer,7.8,5,37,5
29,Doctor,6.1,3,29,6
30,Scientist,5.2,5,47,5
37,Student,9.4,10,56,1
58,Salesperson,5.8,5,48,2
27,Student,7.9,6,53,4
33,Engineer,7.0,8,61,1
29,Software Engineer,7.3,5,21,5
47,Nurse,7.0,5,24,4
22,Unemployed,6.6,7,0,5
25,Student,7.5,7,79,2
49,Retired,6.5,7,55,2
57,Doctor,8.3,5,81,6
58,Freelancer,7.6,5,27,3
39,Nurse,7.7,7,56,1
28,Software Engineer,6.4,6,60,5
21,Freelancer,6.7,7,41,2
42,Teacher,5.7,5,16,4
37,Student,6.6,6,99,5
27,Nurse,5.9,5,90,4
45,Manager,8.4,9,45,1
24,Retired,7.1,5,68,4
56,Lawyer,7.2,7,43,3
26,Student,6.8,5,30,7
51,Nurse,7.2,7,101,1
39,Manager,9.5,7,14,3
59,Lawyer,6.7,7,48,4
47,Nurse,6.3,6,57,3
30,Lawyer,7.6,9,96,1
46,Nurse,4.2,3,77,8
39,Retired,7.1,7,13,5
59,Salesperson,6.6,5,55,6
23,Teacher,5.9,5,56,6
33,Salesperson,7.6,7,49,3
48,Lawyer,7.1,5,70,4
40,Student,5.0,3,20,8
48,Freelancer,6.3,6,45,5
28,Salesperson,4.0,3,67,5
59,Unemployed,7.3,6,72,5
21,Manager,7.3,6,59,5
23,Doctor,6.1,5,48,6
33,Student,7.6,7,52,3
48,Engineer,5.6,6,74,3
45,Student,5.9,3,56,6
53,Retired,7.5,8,29,1
58,Salesperson,6.2,7,24,3
26,Retired,6.9,3,18,7
52,Athlete,6.4,7,91,6
41,Engineer,6.5,7,75,4
36,Manager,6.6,6,52,5
41,Lawyer,6.2,4,44,7
31,Freelancer,7.3,8,41,1
57,Student,6.3,5,82,5
56,Software Engineer,7.0,7,103,3
55,Lawyer,6.2,8,40,2
39,Manager,5.3,5,83,6
40,Software Engineer,8.0,6,56,4
38,Software Engineer,7.5,6,50,4
34,Salesperson,9.5,8,93,1
35,Lawyer,5.9,6,55,2
51,Salesperson,6.8,5,62,7
21,Teacher,6.9,6,61,7
23,Nurse,8.1,6,14,6
36,Student,6.4,6,62,2
43,Engineer,5.7,5,41,6
31,Nurse,8.3,4,19,8
32,Lawyer,6.7,6,42,3
30,Manager,8.0,7,42,4
52,Software Engineer,7.8,6,81,3
36,Doctor,7.0,9,28,3
28,Software Engineer,6.8,7,35,4
58,Athlete,6.6,5,61,4
32,Athlete,7.0,7,22,4
44,Athlete,7.9,9,39,3
48,Student,6.1,6,13,4
28,Student,7.1,7,78,4
48,Engineer,5.8,6,47,4
56,Student,5.9,3,55,5
46,Software Engineer,7.0,6,78,4
28,Manager,4.8,4,37,7
48,Athlete,9.3,10,47,1
48,Engineer,5.7,6,29,5
57,Accountant,7.0,6,29,3
56,Teacher,8.3,7,32,3
47,Student,6.1,7,43,4
37,Student,4.5,4,45,6
29,Unemployed,6.5,5,62,4
53,Lawyer,6.0,5,33,7
40,Athlete,4.5,5,63,4
33,Scientist,7.3,7,67,2
48,Unemployed,7.2,7,43,1
49,Scientist,8.3,8,35,1
33,Engineer,5.8,5,57,7
55,Manager,5.2,4,50,3
26,Athlete,6.6,5,61,4
38,Freelancer,6.9,6,94,5
25,Software Engineer,8.0,9,57,1
45,Software Engineer,8.6,6,39,3
22,Retired,8.3,7,33,5
30,Scientist,7.3,5,34,8
50,Manager,7.9,5,18,5
25,Engineer,6.3,5,78,4
53,Doctor,7.2,6,0,3
21,Athlete,5.7,7,67,3
38,Student,7.1,6,33,4
52,Lawyer,7.1,8,42,5
31,Lawyer,8.9,9,33,2
41,Unemployed,6.7,6,91,4
46,Software Engineer,7.1,9,55,1
45,Unemployed,7.3,7,75,8
42,Teacher,6.5,8,88,3
47,Manager,6.1,7,59,2
33,Retired,8.4,8,25,2
53,Student,5.9,6,49,3
54,Salesperson,5.5,6,36,1
55,Student,7.7,6,42,4
21,Accountant,8.3,8,53,5
41,Teacher,6.5,7,52,1
26,Freelancer,6.5,8,65,2
48,Athlete,7.3,6,69,3
37,Student,6.2,6,52,5
25,Accountant,6.1,6,65,4
51,Software Engineer,8.0,7,41,1
25,Software Engineer,7.7,7,88,2
58,Scientist,8.4,8,41,1
23,Athlete,5.6,6,85,6
43,Scientist,6.4,7,18,5
57,Unemployed,7.3,8,45,2
57,Software Engineer,6.0,6,47,6
30,Accountant,7.7,9,62,1
30,Teacher,8.3,9,77,1
39,Salesperson,6.4,6,24,4
37,Software Engineer,7.0,5,27,5
41,Freelancer,8.6,7,20,2
34,Teacher,9.0,9,88,1
29,Retired,7.8,6,62,5
21,Salesperson,7.7,6,28,4
33,Freelancer,6.1,5,44,5
24,Scientist,7.4,6,85,5
21,Retired,7.6,8,48,3
52,Software Engineer,6.8,6,47,4
54,Athlete,6.3,4,35,5
48,Retired,5.6,5,29,5
51,Doctor,5.1,5,85,3
28,Doctor,4.9,4,97,6
59,Salesperson,7.6,8,30,1
46,Retired,7.2,6,90,1
54,Scientist,6.5,7,43,1
23,Scientist,6.6,7,68,5
32,Doctor,7.2,8,90,2
21,Software Engineer,6.8,5,51,3
25,Athlete,5.5,5,47,6
50,Software Engineer,8.0,7,75,4
50,Student,7.3,5,27,6
37,Retired,7.3,8,84,2
43,Nurse,7.9,6,59,4
35,Student,6.1,5,41,6
57,Software Engineer,8.3,6,40,3
41,Manager,6.8,7,20,3
34,Nurse,8.0,5,42,5
22,Student,7.8,8,48,1
31,Lawyer,5.9,7,28,4
59,Engineer,7.6,7,54,6
58,Manager,7.4,8,67,1
54,Nurse,7.0,7,50,4
58,Student,6.9,5,72,4
54,Lawyer,6.9,8,35,2
38,Student,7.9,7,80,5
50,Doctor,7.6,7,58,2
35,Student,7.0,6,94,4
47,Doctor,5.4,5,115,2
54,Salesperson,7.5,6,43,3
58,Teacher,7.8,7,44,1
53,Athlete,9.5,7,49,4
44,Teacher,8.2,9,70,2
35,Unemployed,4.9,5,88,5
50,Retired,7.1,6,39,4
37,Nurse,9.0,8,65,2
25,Manager,7.7,8,52,3
49,Software Engineer,7.4,6,70,4
24,Accountant,8.0,7,93,1
30,Student,6.3,7,49,4
37,Student,7.5,6,13,3
30,Manager,6.7,6,74,2
37,Teacher,7.0,7,34,2
40,Accountant,7.9,7,51,1
44,Doctor,6.0,5,75,3
25,Student,8.4,9,62,1
54,Engineer,6.5,5,52,5
26,Student,7.3,4,41,6
22,Teacher,5.5,6,0,4
33,Lawyer,7.8,6,72,3
31,Lawyer,8.6,9,49,1
43,Software Engineer,6.4,7,93,2
36,Lawyer,5.8,6,65,2
51,Athlete,7.3,8,41,1
31,Retired,8.6,10,82,1
36,Engineer,5.4,6,84,6
28,Engineer,5.8,6,50,5
24,Software Engineer,6.5,8,85,4
24,Unemployed,6.1,8,41,2
45,Software Engineer,6.1,8,59,5
23,Freelancer,4.7,4,69,9
52,Engineer,7.6,5,75,2
23,Lawyer,7.4,6,71,4
47,Retired,5.1,5,47,5
49,Software Engineer,8.6,8,82,1
52,Manager,8.8,8,52,3
39,Scientist,6.2,6,41,4
41,Nurse,8.3,6,41,3
25,Salesperson,6.4,6,103,4
38,Student,7.2,8,36,4
48,Student,6.1,6,87,4
42,Software Engineer,9.4,9,27,2
41,Retired,6.7,8,67,2
26,Nurse,7.1,6,62,5
21,Teacher,6.2,5,96,3
25,Teacher,9.0,10,39,1
32,Software Engineer,9.1,10,32,1
46,Doctor,8.8,9,52,1
54,Freelancer,8.1,7,97,2
34,Lawyer,6.3,6,33,4
46,Doctor,7.9,6,0,4
47,Doctor,7.0,8,56,3
29,Student,8.4,9,79,1
46,Unemployed,8.2,6,30,4
42,Teacher,6.3,7,76,2
50,Software Engineer,8.0,8,29,3
37,Teacher,7.8,6,51,6
46,Software Engineer,4.0,2,74,9
56,Doctor,7.9,8,25,4
21,Salesperson,6.5,5,60,5
28,Teacher,6.0,8,85,3
55,Engineer,6.1,7,67,3
35,Teacher,6.9,7,37,1
42,Freelancer,7.5,7,93,3
34,Retired,5.5,7,71,2
46,Manager,7.2,7,8,7
48,Accountant,7.6,7,77,2
43,Accountant,9.0,7,41,4
34,Salesperson,5.8,9,60,1
44,Student,6.6,5,80,3
22,Salesperson,7.3,6,41,1
46,Unemployed,8.3,5,14,6
34,Freelancer,6.7,7,93,5
27,Lawyer,8.3,8,84,1
23,Scientist,4.9,5,53,3
43,Doctor,5.6,3,76,7
38,Nurse,7.4,8,46,1
58,Salesperson,5.4,4,57,5
55,Nurse,5.7,5,51,6
35,Unemployed,6.4,7,47,3
45,Doctor,7.8,7,64,2
57,Engineer,4.9,5,25,6
48,Manager,7.2,7,49,4
30,Student,8.1,8,63,1
59,Accountant,6.8,6,101,4
37,Unemployed,6.6,6,26,5
59,Manager,7.4,7,68,4
42,Salesperson,6.8,5,71,5
46,Software Engineer,8.5,9,8,3
45,Engineer,5.8,6,65,5
37,Unemployed,6.9,6,77,3
33,Manager,7.2,8,70,1
40,Unemployed,6.6,6,53,3
45,Engineer,4.0,3,63,8
24,Doctor,6.8,6,59,3
30,Software Engineer,8.0,8,13,1
23,Lawyer,7.9,7,60,5
38,Student,7.4,6,46,4
56,Athlete,5.8,5,37,7
42,Lawyer,7.4,6,117,5
54,Engineer,6.4,5,86,3
28,Salesperson,7.4,5,26,5
39,Salesperson,7.1,6,64,5
57,Teacher,5.9,3,91,5
26,Doctor,6.0,5,18,6
46,Nurse,7.4,6,57,4
54,Software Engineer,6.8,7,58,1
26,Nurse,6.1,4,23,6
57,Software Engineer,6.0,4,64,5
53,Student,6.7,6,83,2
42,Lawyer,8.7,7,93,3
41,Freelancer,6.4,7,49,1
26,Nurse,7.0,5,118,4
26,Accountant,7.1,6,4,8
24,Accountant,5.8,6,64,5
50,Software Engineer,5.1,6,20,3
31,Unemployed,5.9,5,57,7
50,Software Engineer,7.3,4,42,5
51,Freelancer,7.1,6,68,3
44,Retired,7.8,9,52,1
29,Scientist,7.1,7,34,3
23,Scientist,6.9,6,36,6
51,Student,6.3,4,103,5
57,Accountant,8.0,6,66,1
56,Student,6.0,5,12,7
44,Software Engineer,5.8,4,69,8
51,Software Engineer,7.6,8,50,1
26,Engineer,5.5,4,55,7
22,Scientist,9.5,9,75,1
40,Unemployed,7.1,4,85,5
48,Doctor,7.4,6,34,2
31,Unemployed,6.1,4,54,7
24,Nurse,6.7,3,41,7
